n_evals,hv_all
20,0.0
40,0.0
60,0.0
80,0.0
100,0.0
120,0.0
140,0.0
160,0.0
180,0.0
200,0.0
220,0.0
240,0.0
260,0.0
280,0.02412775608735895
300,0.02412775608735895
320,0.02412775608735895
340,0.02412775608735895
360,0.02412775608735895
380,0.02412775608735895
400,0.02412775608735895
420,0.02412775608735895
440,0.02412775608735895
460,0.02412775608735895
480,0.02412775608735895
500,0.02412775608735895
520,0.02412775608735895
540,0.027803282308655954
560,0.027803282308655954
580,0.035024080059853344
600,0.035024080059853344
620,0.035024080059853344
640,0.035024080059853344
660,0.035024080059853344
680,0.035024080059853344
700,0.035024080059853344
720,0.035024080059853344
740,0.035024080059853344
760,0.035024080059853344
780,0.035024080059853344
800,0.03531588086194897
820,0.03531588086194897
840,0.03531588086194897
860,0.03531588086194897
880,0.040610552406132025
900,0.040610552406132025
920,0.040610552406132025
940,0.040610552406132025
960,0.040610552406132025
980,0.040610552406132025
1000,0.040610552406132025
1020,0.040610552406132025
1040,0.040610552406132025
