Attribute,Value
Number Critical Scenarios,133
Number Critical Scenarios (duplicate free),55
Number All Scenarios,460
Number All Scenarios (duplicate free),142
Number Best Critical Scenarios,1
Number Best Critical Scenarios (duplicate free),1
Number Best Scenarios,1
Number Best Scenarios (duplicate free),1
Ratio Critical/All scenarios,0.29
Ratio Critical/All scenarios (duplicate free),0.39
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
